company,language,Repositories_count
"Ustream, Inc.",Go,6
Basho Technologies,CSS,6
"Rakuten, Inc.",Erlang,6
Basho Technologies,Objective-C,6
Independent contractor,Ruby,6
Blue Bits,Java,6
Blue Horseshoe,JavaScript,6
University of Stavanger,Java,6
Schneider Electric DMS NS,JavaScript,6
Kryptnostic,CSS,6
blaste,C,6
REA Group,C++,6
"Zerrtech, LLC",JavaScript,6
Yagni Technologies,C++,6
Ricepo,Swift,6
NLB,Shell,6
W+K,C++,6
NLB,Python,6
NLB,Java,6
NLB,HTML,6
W+K,Shell,6
Jinlabs Ltd,C,6
Alliants,Elixir,6
Alfresco,Ruby,6
Clock Limited,C++,6
Ricepo,C++,6
@imin-ltd,Java,6
@imin-ltd,PHP,6
LBNL,Perl,6
@AblePear,Swift,6
Clock Limited,C,6
18F + personal projects,CSS,6
Heroku,VimL,6
Nokia gate5,JavaScript,6
UC Davis (MS student),R,6
UC Davis (MS student),Ruby,6
UC Davis (MS student),Shell,6
Umbo CV,C++,6
@financeit ,HTML,6
Catalyst IT,Python,6
Lainsoft Foundation,Ruby,6
Catalyst IT,PHP,6
Nokia,C++,6
Ricepo,Objective-C,6
freelance full-stack dev,JavaScript,6
IMMUNIO,Go,6
glfernando,C,6
Studio Sugarfree,JavaScript,5
Odnoklassniki,Java,5
Futurice Oy,JavaScript,5
Pivotal Software Inc.,Objective-C,5
LBNL,Prolog,5
Remitly.com,PHP,5
"Opt-6 Products, LLC",C,5
Iridescent,JavaScript,5
日日金科技有限公司,Go,5
Le Blog de Genma,Shell,5
dmc digital media center,JavaScript,5
Stalos Tech,Java,5
Forefront Consulting Group,C#,5
Studio Sugarfree,PHP,5
Lainsoft Foundation,Java,5
Le Blog de Genma,Python,5
Globo.com,Python,5
devCrowd GmbH,JavaScript,5
Red Hat,C,5
https://www.codepan.io,CoffeeScript,5
Kumel Soft,Ruby,5
@vinted ,Ruby,5
LBNL,Web Ontology Language,5
RG Sistemas,PHP,5
NilOut LLC,Erlang,5
@Automattic ,PHP,5
MeYou Health,PHP,5
THEMWEBS,CSS,5
University of Szeged,C++,5
SilverStripe,JavaScript,5
Mozilla,JavaScript,5
Institut Pasteur,Java,5
R-Vision,JavaScript,5
BaristaVentures,C++,5
MoneyDesktop,Java,5
"Prolanceer, India",PHP,5
Microsoft,Shell,5
"StoneDonut, LLC.",PowerShell,5
Microsoft,Python,5
University of Pisa,C,5
Paperpile,R,5
Owl Unit,Scala,5
Microsoft,JavaScript,5
"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",JavaScript,5
"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",Ruby,5
"DeNA Co.,Ltd.",C++,5
IMMUNIO,Python,5
Calibreworks,Shell,5
Mutual Mobile,JavaScript,5
"Pamiris, Inc.",JavaScript,5
Google,JavaScript,5
Intrepid Pursuits,Objective-C,5
GovDelivery,JavaScript,5
Twitter,Shell,5
Intrepid Pursuits,Swift,5
Edwin Meyer Software Engineering,Ruby,5
"Prolanceer, India",JavaScript,4
REA Group,F#,4
Heroku,Emacs Lisp,4
REA Group,Haskell,4
Heroku,Python,4
REA Group,TypeScript,4
Sheepdog Sciences,Arduino,4
Hibado,C,4
HPE,Java,4
Shift Technologies Inc.,JavaScript,4
LINE Fukuoka,Ruby,4
Sheepdog Sciences,Objective-C,4
Stalos Tech,JavaScript,4
Siemer for Hire,JavaScript,4
Happy Nerd Shirts,CSS,4
Silibrina,Shell,4
REA Group,Ruby,4
MIT Class of 2018,Python,4
Hoelle Development,JavaScript,4
La Magia en Arda,JavaScript,4
Iridescent,Elixir,4
LINE Fukuoka,CoffeeScript,4
Skulski Research Group,Elm,4
"Localize, Techstars, YC",PHP,4
Ionata Digital,Shell,4
Ionata Digital,Ruby,4
Ionata Digital,Objective-C,4
"Reenhanced, LLC",Ruby,4
Ricepo,Shell,4
Google,C++,4
Invert Game Studios LLC,JavaScript,4
Skulski Research Group,PHP,4
Pragmateam,CSS,4
Kinertia LLC,CSS,4
HP,JavaScript,4
"Kobo, Inc.",Java,4
Lowe's Home Improvement,CSS,4
S. Quinton Green,PHP,4
"Kobo, Inc.",Python,4
"Global Data 360, Inc.",Java,4
Skulski Research Group,CSS,4
Schneider Electric DMS NS,Java,4
"Localize, Techstars, YC",CoffeeScript,4
"Rakuten, Inc.",Haskell,4
Simmer,PHP,4
R-Vision,CSS,4
Templateninja.net,PHP,4
Lighthouse Software Solutions,JavaScript,4
"AETROS.com, @aetros ",CSS,4
Android Command,HTML,4
Catalyst IT,HTML,4
Unboxed Consulting,Ruby,4
Meruvian,HTML,4
Driw AS,Python,4
DroniX Dev Team,Shell,4
"AETROS.com, @aetros ",TypeScript,4
OpenLearning Global Pty Ltd.,JavaScript,4
backslash AG,JavaScript,4
"Parler Haut, Interagir Librement",JavaScript,4
blaste,Objective-C,4
EPAM Systems,JavaScript,4
OpenLearning Global Pty Ltd.,C,4
Appetica,C#,4
@trello ,CSS,4
Cirrus Machina,Python,4
@stampr ,CoffeeScript,4
TBODA Pty Ltd,CSS,4
Umbo CV,C,4
DigitalH2O,CoffeeScript,4
The Tandem Group,CSS,4
Meruvian,Java,4
Airbnb,Shell,4
Clowns and Puppets,JavaScript,4
Airbnb,Scala,4
Continuity Control,JavaScript,4
Continuity Control,Shell,4
Airbnb,Rust,4
Airbnb,Racket,4
"Ciber, Inc.",Ruby,4
Airbnb,Python,4
Alfresco,Java,4
Alliants,Ruby,4
Thousand Eyes Inc.,Java,4
Thousand Eyes Inc.,HTML,4
Thousand Eyes Inc.,C,4
Agiliq,CSS,4
ThoughtWorks,Emacs Lisp,4
YP Holdings,VimL,4
PLUS2,Ruby,4
