,company,language,Repositories_count
320,Ricepo,Swift,6
321,NLB,Shell,6
322,W+K,C++,6
323,NLB,Python,6
324,NLB,Java,6
325,NLB,HTML,6
326,W+K,Shell,6
327,Jinlabs Ltd,C,6
328,Alliants,Elixir,6
329,Alfresco,Ruby,6
330,Clock Limited,C++,6
331,Ricepo,C++,6
332,@imin-ltd,Java,6
333,@imin-ltd,PHP,6
334,LBNL,Perl,6
335,@AblePear,Swift,6
336,Clock Limited,C,6
337,18F + personal projects,CSS,6
338,Heroku,VimL,6
339,Nokia gate5,JavaScript,6
340,UC Davis (MS student),R,6
341,UC Davis (MS student),Ruby,6
342,UC Davis (MS student),Shell,6
343,Umbo CV,C++,6
344,@financeit ,HTML,6
345,Catalyst IT,Python,6
346,Lainsoft Foundation,Ruby,6
347,Catalyst IT,PHP,6
348,Nokia,C++,6
349,Ricepo,Objective-C,6
350,freelance full-stack dev,JavaScript,6
351,IMMUNIO,Go,6
352,glfernando,C,6
353,Studio Sugarfree,JavaScript,5
354,Odnoklassniki,Java,5
355,Futurice Oy,JavaScript,5
356,Pivotal Software Inc.,Objective-C,5
357,LBNL,Prolog,5
358,Remitly.com,PHP,5
359,"Opt-6 Products, LLC",C,5
360,Iridescent,JavaScript,5
361,日日金科技有限公司,Go,5
362,Le Blog de Genma,Shell,5
363,dmc digital media center,JavaScript,5
364,Stalos Tech,Java,5
365,Forefront Consulting Group,C#,5
366,Studio Sugarfree,PHP,5
367,Lainsoft Foundation,Java,5
368,Le Blog de Genma,Python,5
369,Globo.com,Python,5
370,devCrowd GmbH,JavaScript,5
371,Red Hat,C,5
372,https://www.codepan.io,CoffeeScript,5
373,Kumel Soft,Ruby,5
374,@vinted ,Ruby,5
375,LBNL,Web Ontology Language,5
376,RG Sistemas,PHP,5
377,NilOut LLC,Erlang,5
378,@Automattic ,PHP,5
379,MeYou Health,PHP,5
380,THEMWEBS,CSS,5
381,University of Szeged,C++,5
382,SilverStripe,JavaScript,5
383,Mozilla,JavaScript,5
384,Institut Pasteur,Java,5
385,R-Vision,JavaScript,5
386,BaristaVentures,C++,5
387,MoneyDesktop,Java,5
388,"Prolanceer, India",PHP,5
389,Microsoft,Shell,5
390,"StoneDonut, LLC.",PowerShell,5
391,Microsoft,Python,5
392,University of Pisa,C,5
393,Paperpile,R,5
394,Owl Unit,Scala,5
395,Microsoft,JavaScript,5
396,"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",JavaScript,5
397,"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",Ruby,5
398,"DeNA Co.,Ltd.",C++,5
399,IMMUNIO,Python,5
400,Calibreworks,Shell,5
401,Mutual Mobile,JavaScript,5
402,"Pamiris, Inc.",JavaScript,5
403,Google,JavaScript,5
404,Intrepid Pursuits,Objective-C,5
405,GovDelivery,JavaScript,5
406,Twitter,Shell,5
407,Intrepid Pursuits,Swift,5
408,Edwin Meyer Software Engineering,Ruby,5
409,"Prolanceer, India",JavaScript,4
410,REA Group,F#,4
411,Heroku,Emacs Lisp,4
412,REA Group,Haskell,4
413,Heroku,Python,4
414,REA Group,TypeScript,4
415,Sheepdog Sciences,Arduino,4
416,Hibado,C,4
417,HPE,Java,4
418,Shift Technologies Inc.,JavaScript,4
419,LINE Fukuoka,Ruby,4
420,Sheepdog Sciences,Objective-C,4
421,Stalos Tech,JavaScript,4
422,Siemer for Hire,JavaScript,4
423,Happy Nerd Shirts,CSS,4
424,Silibrina,Shell,4
425,REA Group,Ruby,4
426,MIT Class of 2018,Python,4
427,Hoelle Development,JavaScript,4
428,La Magia en Arda,JavaScript,4
429,Iridescent,Elixir,4
430,LINE Fukuoka,CoffeeScript,4
431,Skulski Research Group,Elm,4
432,"Localize, Techstars, YC",PHP,4
433,Ionata Digital,Shell,4
434,Ionata Digital,Ruby,4
435,Ionata Digital,Objective-C,4
436,"Reenhanced, LLC",Ruby,4
437,Ricepo,Shell,4
438,Google,C++,4
439,Invert Game Studios LLC,JavaScript,4
440,Skulski Research Group,PHP,4
441,Pragmateam,CSS,4
442,Kinertia LLC,CSS,4
443,HP,JavaScript,4
444,"Kobo, Inc.",Java,4
445,Lowe's Home Improvement,CSS,4
446,S. Quinton Green,PHP,4
447,"Kobo, Inc.",Python,4
448,"Global Data 360, Inc.",Java,4
449,Skulski Research Group,CSS,4
450,Schneider Electric DMS NS,Java,4
451,"Localize, Techstars, YC",CoffeeScript,4
452,"Rakuten, Inc.",Haskell,4
453,Simmer,PHP,4
454,R-Vision,CSS,4
455,Templateninja.net,PHP,4
456,Lighthouse Software Solutions,JavaScript,4
457,"AETROS.com, @aetros ",CSS,4
458,Android Command,HTML,4
459,Catalyst IT,HTML,4
460,Unboxed Consulting,Ruby,4
461,Meruvian,HTML,4
462,Driw AS,Python,4
463,DroniX Dev Team,Shell,4
464,"AETROS.com, @aetros ",TypeScript,4
465,OpenLearning Global Pty Ltd.,JavaScript,4
466,backslash AG,JavaScript,4
467,"Parler Haut, Interagir Librement",JavaScript,4
468,blaste,Objective-C,4
469,EPAM Systems,JavaScript,4
470,OpenLearning Global Pty Ltd.,C,4
471,Appetica,C#,4
472,@trello ,CSS,4
473,Cirrus Machina,Python,4
474,@stampr ,CoffeeScript,4
475,TBODA Pty Ltd,CSS,4
476,Umbo CV,C,4
477,DigitalH2O,CoffeeScript,4
478,The Tandem Group,CSS,4
479,Meruvian,Java,4
480,Airbnb,Shell,4
481,Clowns and Puppets,JavaScript,4
482,Airbnb,Scala,4
483,Continuity Control,JavaScript,4
484,Continuity Control,Shell,4
485,Airbnb,Rust,4
486,Airbnb,Racket,4
487,"Ciber, Inc.",Ruby,4
488,Airbnb,Python,4
489,Alfresco,Java,4
490,Alliants,Ruby,4
491,Thousand Eyes Inc.,Java,4
492,Thousand Eyes Inc.,HTML,4
493,Thousand Eyes Inc.,C,4
